,Address,Suburb,Price,Bedrooms,Bathrooms,Garage,Land_Area,Floor_Area,Build_Year,Cbd_Dist,Nearest_Stn,Nearest_Stn_Dist,Date_Sold,Postcode,Nearest_Sch,Nearest_Sch_Dist
16202,35 Longview Way,The Vines,895000,5,3,3,722,296,2011,26.3,Midland Station,15.3,03-2018,6069,Holy Cross College,4.0
16203,35 Lowan Loop,Karawara,790000,5,3,2,645,248,2001,6.6,Canning Bridge Station,2.6,06-2011,6152,Clontarf Aboriginal College,1.3
16204,35 MacEdon Place,Craigie,505000,4,1,2,460,165,1972,20.2,Whitfords Station,2.7,05-2018,6025,St Mark'S Anglican Community School,1.2
16205,35 Mahogany Loop,Atwell,392000,4,2,2,555,154,1995,19.5,Cockburn Central Station,0.7,05-2019,6164,Atwell College,1.8
16206,35 Malek Drive,Mardella,700000,4,1,1,56906,136,1975,39.7,Wellard Station,13.5,01-2016,6125,Court Grammar School,4.4
16207,35 Maley Street,Ashfield,490000,3,1,1,662,90,1964,8.6,Ashfield Station,0.7,03-2015,6054,Cyril Jackson Senior Campus,0.6
16208,35 Marnie Road,Glen Forrest,450000,4,1,1,2746,139,1974,23.2,Midland Station,9.3,01-2017,6071,Helena College,0.6
16209,35 Marradong Street,Coolbinia,1125000,4,1,4,1100,226,1956,4.6,Glendalough Station,2.7,06-2015,6050,Carmel School,1.8
16210,35 Mathis Way,Carine,885000,4,3,2,795,315,1977,12.4,Warwick Station,1.6,02-2020,6020,Carine Senior High School,1.4
16211,35 Mattingleys Approach,Burns Beach,820000,4,2,2,626,246,2010,28.0,Currambine Station,1.8,04-2017,6028,Lake Joondalup Baptist College,3.2
16212,35 MERCURY STREET,Carlisle,450000,3,2,2,314,132,2001,6.6,Carlisle Station,0.9,04-2020,6101,Australian Islamic College - Kewdale,1.1
16213,35 Messina Drive,Sinagra,565000,4,2,2,528,206,2008,24.2,Joondalup Station,3.4,06-2014,6065,Wanneroo Secondary College,2.3
16214,35 Mint Circuit,Banksia Grove,336000,4,2,2,539,148,1995,28.5,Clarkson Station,6.9,07-2017,6031,Joseph Banks Secondary College,1.3
16215,35 Monaco Avenue,North Lake,527000,3,1,1,720,150,1984,14.5,Murdoch Station,3.3,03-2018,6163,North Lake Senior Campus,0.6
16216,35 Moola Road,Mahogany Creek,810000,4,2,2,9999,280,1989,25.5,Midland Station,12.0,03-2007,6072,Helena College,3.2
16217,35 Mullaloo Drive,Mullaloo,515000,2,1,2,808,69,1975,21.7,Edgewater Station,3.9,02-2020,6027,St Mark'S Anglican Community School,1.5
16218,35 Musgrove Crescent,Boya,642000,4,2,2,2013,200,1974,19.1,Midland Station,5.9,03-2020,6056,Treetops Montessori School,1.7
16219,35 Mustang Drive,Henley Brook,565000,3,2,2,576,181,2002,20.4,East Guildford Station,11.0,09-2015,6055,Swan Valley Anglican Community School,1.1
16220,35 Nanika Crescent,Joondalup,685000,4,2,6,895,215,1990,26.7,Currambine Station,0.6,06-2018,6027,Lake Joondalup Baptist College,1.1
16221,35 Nesbit Drive,Haynes,225000,4,2,2,480,193,2015,26.0,Armadale Station,2.1,04-2014,6112,Dale Christian School,0.7
16222,35 Newstead Crescent,Parmelia,307000,3,1,1,681,147,1985,33.3,Wellard Station,1.6,02-2018,6167,Peter Carnley Anglican Community School,1.0
16223,35 Norwood Loop,Tapping,222500,4,2,2,603,147,2001,27.3,Currambine Station,3.6,08-2020,6065,Joseph Banks Secondary College,2.0
16224,35 Oakdale Street,Floreat,2440000,6,4,2,809,442,2009,6.8,Loch Street Station,3.5,08-2018,6014,Newman College,1.9
16225,35 Orchid Avenue,Bennett Springs,412000,4,2,2,599,166,1996,12.1,Ashfield Station,6.3,03-2020,6063,Kiara College,2.5
16226,35 Palmateer Drive,Carmel,760000,5,2,2,1810,252,1998,22.9,Madding,10.8,10-2013,6076,Carmel Adventist College,0.4
16227,35 Pepler Avenue,Salter Point,872000,4,2,2,533,159,1994,8.1,Canning Bridge Station,2.1,07-2015,6152,Aquinas College,0.8
16228,35 Pine Terrace,Darlington,610000,3,1,2,1979,143,1950,20.2,Midland Station,7.0,07-2016,6070,Treetops Montessori School,0.6
16229,35 Pissaro Crescent,Ashby,495000,4,2,2,589,152,2006,25.2,Joondalup Station,2.7,08-2015,6065,Lake Joondalup Baptist College,3.0
16230,35 Plantation Street,Menora,1060000,3,2,2,895,206,1970,4.3,Perth Station,4.1,03-2015,6050,Mount Lawley Senior High School,1.1
16231,35 Pollard Way,Warnbro,595000,4,2,3,810,200,1979,45.0,Warnbro Station,2.8,07-2018,6169,Living Waters Lutheran College,0.7
16232,35 Priory Road,Maida Vale,427000,3,2,2,610,129,2014,15.2,Midland Station,7.0,11-2015,6057,Darling Range Sports College,2.7
16233,35 Raleigh Street,Belmont,485000,4,2,2,548,136,1955,7.4,Ashfield Station,3.7,03-2020,6104,Belmont City College,1.5
16234,35 Raspins Loop,Burns Beach,605000,4,2,2,510,30,2010,28.1,Currambine Station,1.7,08-2019,6028,Lake Joondalup Baptist College,3.1
16235,35 Reynolds Road,Forrestfield,350000,4,2,2,600,142,1995,13.4,Madding,6.6,11-2018,6058,Darling Range Sports College,2.4
16236,35 Rhodes Crescent,Calista,330000,3,1,2,850,98,1968,33.7,Wellard Station,1.4,06-2014,6167,Peter Carnley Anglican Community School,0.7
16237,35 Richmond Circus,East Fremantle,770000,3,2,2,378,180,1996,13.7,Fremantle Station,2.0,07-2017,6158,John Curtin College Of The Arts,0.9
16238,35 Rickett Street,Haynes,409500,4,2,2,442,189,2014,26.0,Armadale Station,2.2,02-2017,6112,Dale Christian School,0.8
16239,35 Riverdale Road,Helena Valley,522000,4,2,2,603,204,1997,16.8,Midland Station,4.2,01-2017,6056,Swan View Senior High School,3.6
16240,35 Rocklands Loop,Carramar,445000,4,2,2,525,230,2009,28.5,Currambine Station,4.9,02-2017,6031,Joseph Banks Secondary College,0.4
16241,35 Rosegreen Avenue,Butler,355000,4,2,2,711,208,2009,37.4,Butler Station,1.1,11-2019,6036,Butler College,1.1
16242,35 Russell Road,Madeley,580000,4,2,2,540,241,2004,16.3,Greenwood Station,4.4,11-2019,6065,Kingsway Christian College,0.9
16243,35 Scanlon Way,Lockridge,345000,3,1,1,728,133,1970,11.7,Success Hill Station,1.6,05-2020,6054,Kiara College,2.0
16244,35 Sedgeland Way,Ascot,885000,4,2,2,400,283,1999,5.8,Bayswater Station,2.2,02-2015,6104,Belmont City College,2.8
16245,35 Shamrock Way,Huntingdale,358950,3,1,2,702,190,1981,17.7,Gosnells Station,2.8,08-2020,6110,Southern River College,1.1
16246,35 Shaw Road,Dianella,1300000,4,3,4,759,313,1960,6.0,Mount Lawley Station,4.1,09-2020,6059,Carmel School,0.8
16247,35 Shelduck Crescent,Bennett Springs,475000,4,2,2,550,148,2002,13.0,Bassendean Station,4.8,03-2017,6063,Kiara College,2.1
16248,35 Shoalwater Street,North Coogee,1120000,4,2,2,300,231,2012,17.3,Fremantle Station,3.3,11-2016,6163,Fremantle College,1.9
16249,35 Simmental Vale,Stratton,390000,4,2,2,564,150,1996,20.2,Midland Station,5.2,04-2014,6056,Swan View Senior High School,2.5
16250,35 Simons Drive,Roleystone,595000,6,3,2,20392,275,1985,28.4,Kelmscott Station,7.8,11-2016,6111,Kelmscott Senior High School,8.1
16251,35 SISTINA ROAD,Ashby,422500,4,2,2,584,172,2006,24.5,Joondalup Station,2.9,05-2020,6065,Wanneroo Secondary College,2.7
16252,35 Southmead Drive,Landsdale,512500,3,2,2,662,203,1998,16.8,Whitfords Station,7.6,08-2018,6065,Landsdale Christian School,0.8
16253,35 St Leonards Boulevard,Dayton,615000,4,2,4,496,224,2011,14.9,Guildford Station,4.6,09-2018,6055,Swan Christian College,3.9
16254,35 Steedman Loop,Mirrabooka,386000,3,1,2,674,108,1985,10.9,Warwick Station,5.8,07-2015,6061,John Septimus Roe Anglican Community School,0.6
16255,35 Strathclyde Circuit,Champion Lakes,196000,4,2,2,420,183,2013,22.2,Kelmscott Station,2.3,09-2012,6111,Kelmscott Senior High School,2.0
16256,35 Sugarwood Drive,Thornlie,469000,4,2,2,535,168,1998,15.0,Thornlie Station,2.4,04-2020,6108,Thornlie Senior High School,1.7
16257,35 Sulman Avenue,Salter Point,1240000,4,2,2,563,213,1993,8.2,Canning Bridge Station,2.3,03-2015,6152,Aquinas College,1.0
16258,35 Swan View Road,Greenmount,525000,3,1,2,2040,117,1937,20.1,Midland Station,5.6,11-2014,6056,Swan View Senior High School,1.7
16259,35 Talisker Bend,Golden Bay,275000,3,2,2,299,109,2013,53.1,Warnbro Station,10.6,09-2018,6174,Comet Bay College,0.7
16260,35 Talus Drive,Mount Richon,570000,4,2,2,2301,145,2010,28.0,Armadale Station,1.3,01-2013,6112,Armadale Senior High School,0.6
16261,35 Tamarine Way,Swan View,325000,3,1,1,686,125,1982,20.1,Midland Station,5.1,03-2018,6056,Swan View Senior High School,1.4
16262,35 Taylor Road,Nedlands,1400000,3,1,3,923,200,1960,7.1,Loch Street Station,1.5,01-2018,6009,Christ Church Grammar School,1.7
16263,35 Thurleigh Approach,Butler,485000,4,2,2,544,133,2006,37.3,Butler Station,1.1,12-2020,6036,Butler College,0.9
16264,35 Tindal Avenue,Yangebup,605000,4,3,2,550,225,2005,20.0,Cockburn Central Station,4.7,10-2019,6164,Divine Mercy College,1.6
16265,35 Traminer Way,Pearsall,410000,4,2,2,300,128,2012,19.2,Edgewater Station,3.7,03-2018,6065,Alta-1,0.3
16266,35 Two Rocks Road,Two Rocks,325000,3,1,1,809,86,1972,56.1,Butler Station,18.0,09-2017,6037,Yanchep Secondary College,7.4
16267,35 Vellgrove Avenue,Parkwood,569500,4,2,2,692,195,1982,12.1,Thornlie Station,3.1,03-2016,6147,Lynwood Senior High School,0.7
16268,35 Via Vista Drive,Mariginiup,805000,5,2,2,21663,254,1991,28.3,Clarkson Station,11.4,04-2020,6078,Joseph Banks Secondary College,5.9
16269,35 Vines Avenue,The Vines,680000,2,2,6,4062,141,1990,24.6,Midland Station,13.8,08-2017,6069,Holy Cross College,2.9
16270,35 Wannell Street,Queens Park,565000,4,2,2,426,195,2012,10.4,Canning,1.5,12-2016,6107,St Norbert College,1.2
16271,35 Waylen Road,Shenton Park,1400000,4,2,1,512,192,1918,4.9,Shen,0.2,01-2016,6008,Shenton College,0.4
16272,35 Weetman Road,Hammond Park,481000,3,2,2,359,157,2014,24.4,Cockburn Central Station,5.2,08-2017,6164,Atwell College,3.4
16273,35 Weld Street,Nedlands,1710000,4,2,3,697,285,1916,6.5,Karrakatta Station,1.1,01-2018,6009,Christ Church Grammar School,2.0
16274,35 Weymouth Boulevard,Quinns Rocks,600000,4,2,2,648,215,1998,36.2,Butler Station,2.8,06-2018,6030,Alkimos Baptist College,1.7
16275,35 Whimbrel Parade,Bennett Springs,530000,4,2,2,542,157,2004,12.1,Ashfield Station,5.8,10-2016,6063,Kiara College,1.9
16276,35 Whitlock Road,East Cannington,395000,3,2,4,323,124,2005,10.8,Beckenham Station,2.1,07-2017,6107,St Norbert College,1.5
16277,35 Whitsunday Avenue,Ridgewood,402000,4,2,2,709,167,1994,34.3,Clarkson Station,3.1,10-2017,6030,Clarkson Community High School,1.3
16278,35 Willow Road,Woodlands,940000,5,2,2,778,728,1973,7.7,Stirling Station,1.6,03-2017,6018,Churchlands Senior High School,1.3
16279,35 Winsor Road,Kalamunda,790000,5,2,4,2278,241,1970,18.5,Madding,9.9,09-2016,6076,Kalamunda Senior High School,0.6
16280,35 Wishaw Loop,Kinross,640000,4,2,2,747,246,1999,28.8,Currambine Station,2.2,02-2020,6028,Youth Futures Community School,3.1
16281,35 Wisteria Parade,Edgewater,494000,3,1,1,700,111,1982,21.0,Edgewater Station,0.7,10-2015,6027,Mater Dei College,1.3
16282,35 Wundu Entrance,South Guildford,412500,4,2,2,450,121,2000,12.6,East Guildford Station,2.1,07-2016,6055,Guildford Grammar School,2.3
16283,35 York Street,North Perth,975000,3,2,2,451,150,1925,2.8,Perth Station,2.7,11-2018,6006,Mount Lawley Senior High School,1.1
16284,35 Zaragoza Drive,Port Kennedy,275000,3,2,2,350,123,2002,46.5,Warnbro Station,4.0,10-2020,6172,Warnbro Community High School,1.8
16285,35/106 Williams Street,Gooseberry Hill,390000,2,1,1,25030,107,1981,18.4,Midland Station,9.1,05-2015,6076,Kalamunda Senior High School,2.1
16286,350 Illawarra Crescent,Ballajura,300000,4,2,1,832,103,1990,12.1,Warwick Station,8.2,12-2019,6066,Ballajura Community College,1.0
16287,350 Lilydale Road,Chidlow,440000,3,2,3,1349,107,1990,40.1,Midland Station,25.6,03-2017,6556,Eastern Hills Senior High School,4.9
16288,3500 Great Eastern Highway,Mahogany Creek,377000,3,1,1,540,99,1950,25.9,Midland Station,11.9,05-2008,6072,Helena College,3.4
16289,351 South Street,Hilton,478000,3,1,4,810,153,1954,14.2,Fremantle Station,4.1,04-2020,6163,Seton Catholic College,1.2
16290,351 Stirling Street,Highgate,925000,2,1,2,621,200,1938,1.7,East Perth Station,0.9,02-2014,6003,Perth College,1.1
16291,351 Walcott Street,Coolbinia,636200,3,1,1,466,114,1945,3.8,Glendalough Station,2.8,06-2010,6050,Aranmore Catholic College,1.3
16292,352 Campersic Road,Herne Hill,855000,4,1,6,20303,283,1973,23.3,Midland Station,9.1,03-2010,6056,Swan Christian College,5.5
16293,352 Walcott Street,Coolbinia,850000,3,2,1,908,146,1938,3.9,Glendalough Station,2.8,11-2012,6050,Aranmore Catholic College,1.4
16294,352B Shepperton Road,East Victoria Park,512000,3,3,2,210,166,2010,6.8,Oats Street Station,0.6,05-2018,6101,Kent Street Senior High School,2.0
16295,353 Boulonnais Drive,Brigadoon,840000,4,3,5,18693,272,1994,28.1,Midland Station,14.0,10-2018,6069,Swan Valley Anglican Community School,9.4
16296,353 Epsom Avenue,Redcliffe,470000,3,2,2,420,160,1998,8.9,Bassendean Station,5.6,05-2015,6104,Belmont City College,1.8
16297,3530 Great Eastern Highway,Mahogany Creek,558000,5,2,4,5376,214,1977,26.0,Midland Station,12.0,06-2017,6072,Helena College,3.4
16298,354 Warwick Road,Warwick,520000,4,2,2,728,172,1973,14.1,Warwick Station,1.4,11-2014,6024,Warwick Senior High School,1.1
16299,354b Huntriss Road,Woodlands,1326000,4,2,3,515,219,2011,8.6,Stirling Station,1.9,04-2016,6018,Hale School,1.0
16300,355 Bailey Road,Glen Forrest,920000,4,2,4,20045,185,2007,24.9,Midland Station,11.0,05-2015,6071,Helena College,2.4
16301,355 Charles Road,Mahogany Creek,134000,4,3,4,11986,255,1998,26.9,Midland Station,13.3,11-1994,6072,Mundaring Christian College,4.1
16302,355B Lennard Street,Dianella,469500,3,2,2,260,136,2013,6.3,Maylands Station,3.1,09-2020,6059,John Forrest Secondary College,1.4
16303,3565 Wedgetail Circle,Parkerville,938000,3,2,2,20050,231,2014,26.4,Midland Station,11.4,10-2016,6081,Helena College,6.5
16304,357 Cathedral Avenue,Brigadoon,610000,5,2,5,24121,206,1990,26.4,Midland Station,13.3,09-2004,6069,Swan Valley Anglican Community School,6.4
16305,357 Millhouse Road,Aveley,485000,4,2,2,705,241,2009,22.6,East Guildford Station,13.1,04-2020,6069,Holy Cross College,1.1
16306,359 Lord Street,Beechboro,366000,3,1,3,683,113,1984,13.3,Success Hill Station,4.1,07-2017,6063,Kiara College,2.3
16307,35A Ada Street,Watermans Bay,830000,3,2,1,446,146,1994,15.1,Warwick Station,3.9,11-2009,6020,Carine Senior High School,2.0
16308,35a Bradford Street,Menora,900000,4,1,2,788,165,1958,3.8,Mount Lawley Station,2.5,11-2013,6050,Mount Lawley Senior High School,0.8
16309,35A Central Road,Rossmoyne,635000,2,1,1,1020,101,1968,9.7,Bull Creek Station,1.4,08-2015,6148,Rossmoyne Senior High School,1.0
16310,35A Chadwick Street,Hilton,580000,4,2,2,396,155,2012,14.1,Fremantle Station,4.3,04-2020,6163,Seton Catholic College,1.0
16311,35a Cranford Avenue,Brentwood,567000,3,1,2,283,92,1979,9.9,Bull Creek Station,0.6,01-2014,6153,All Saints' College,1.5
16312,35A Emily Street,St James,570000,4,2,3,453,187,2009,7.3,Welshpool Station,1.3,07-2019,6102,Canning College,1.6
16313,35A Fennager Way,Calista,261000,3,1,1,509,84,1968,33.2,Wellard Station,2.3,09-2013,6167,Gilmore College,1.4
16314,35A Fortescue Street,East Fremantle,1155000,4,2,2,1011,240,2011,13.0,North Fremantle Station,2.4,02-2019,6158,John Curtin College Of The Arts,1.6
16315,35A Henning Crescent,Manning,635000,3,2,2,927,131,1996,7.0,Canning Bridge Station,1.4,03-2019,6152,Como Secondary College,1.1
16316,35A Langley Road,Bayswater,540000,3,2,2,1221,126,2007,6.8,Bayswater Station,0.9,10-2019,6053,Chisholm Catholic College,1.0
16317,35A Lefroy Road,Beaconsfield,850000,2,2,2,307,146,2001,16.0,Fremantle Station,2.2,07-2017,6162,Fremantle College,0.9
16318,35A Manapouri Meander,Joondalup,351400,3,1,1,504,107,1990,27.4,Currambine Station,0.8,06-2018,6027,Lake Joondalup Baptist College,1.9
16319,35A Newton Street,Bayswater,443000,3,2,2,1001,147,1971,6.9,Bayswater Station,1.3,09-2019,6053,Cyril Jackson Senior Campus,2.1
16320,35a Pearl Road,Cloverdale,549000,4,2,2,666,218,2010,8.7,Burswood Station,4.7,09-2017,6105,Belmont City College,1.5
16321,35A Pollock Street,Bentley,399000,4,2,2,324,126,2003,8.1,Welshpool Station,1.8,02-2018,6102,Canning College,1.5
16322,35A Saw Road,Kardinya,440000,3,2,1,463,122,1986,13.0,Murdoch Station,3.7,10-2019,6163,North Lake Senior Campus,1.3
16323,35A Stevens Street,White Gum Valley,692000,4,2,8,423,190,2008,14.9,Fremantle Station,1.7,07-2019,6162,Christian Brothers' College,1.0
16324,35A Stonesfield Court,Padbury,590000,3,2,2,463,167,1995,17.2,Greenwood Station,0.9,07-2019,6025,St Stephen'S School,0.7
16325,35A Strickland Road,Ardross,800000,4,2,2,532,174,1996,8.7,Bull Creek Station,2.2,05-2017,6153,Applecross Senior High School,0.8
16326,35a Virginia Avenue,Maddington,400000,3,2,2,310,134,2014,18.1,Gosnells Station,1.0,07-2017,6109,Lumen Christi College,1.3
16327,35B Barrett Street,Wembley,1175000,3,2,2,294,234,2010,3.7,Subiaco Station,0.5,09-2020,6014,Perth Modern School,1.5
16328,35B Central Road,Rossmoyne,635000,2,1,1,1020,74,1968,9.7,Bull Creek Station,1.4,08-2015,6148,Rossmoyne Senior High School,1.0
16329,35B Fitzroy Road,Rivervale,595000,3,2,2,480,174,2008,5.0,Burswood Station,1.1,06-2019,6103,St Clare'S School,1.5
16330,35B Hartfield Way,Westminster,425000,3,2,2,822,245,1963,9.5,Stirling Station,4.7,01-2018,6061,Dianella Secondary College,1.6
16331,35B Sorrento Street,North Beach,850000,3,2,2,452,165,1986,14.2,Warwick Station,4.2,07-2017,6020,Carine Senior High School,2.0
16332,35B Star Street,Carlisle,420000,3,2,2,247,113,1999,5.7,Carlisle Station,0.7,08-2017,6101,St Clare'S School,0.6
16333,35B Victoria Avenue,Claremont,1200000,3,2,2,341,155,1981,8.1,Claremont Station,1.0,08-2018,6010,Christ Church Grammar School,0.8
16334,36 Abingdon Road,Swan View,362250,4,1,2,805,157,1980,19.6,Midland Station,4.8,12-2017,6056,Swan View Senior High School,0.7
16335,36 Albert Road,Lesmurdie,775000,4,2,2,2044,195,1977,19.1,Madding,7.5,12-2017,6076,Lesmurdie Senior High School,0.4
16336,36 Allamanda Drive,South Lake,429000,3,1,1,700,177,1985,16.9,Cockburn Central Station,3.3,10-2020,6164,Lakeland Senior High School,1.2
16337,36 Amity Circuit,Shoalwater,470000,4,2,2,536,183,2012,40.3,Rockingham Station,4.0,02-2016,6169,Rockingham Senior High School,1.9
16338,36 Ammanford Crescent,Butler,429000,4,2,2,510,224,2005,37.7,Butler Station,0.8,10-2020,6036,Butler College,1.5
16339,36 Andrews Turn,Wanneroo,510000,4,2,2,619,263,2003,19.7,Edgewater Station,2.7,12-2019,6065,Alta-1,0.9
16340,36 Annois Road,Bibra Lake,450000,4,2,4,451,157,2000,16.0,Murdoch Station,3.4,04-2017,6163,Lakeland Senior High School,1.6
16341,36 Ashdale Boulevard,Darch,585000,4,2,2,591,231,2003,15.9,Greenwood Station,5.9,07-2017,6065,Ashdale Secondary College,0.4
16342,36 Ashridge Turn,Canning Vale,620000,4,2,2,685,258,1999,16.7,Thornlie Station,4.8,11-2019,6155,Canning Vale College,1.2
16343,36 Avon Crescent,Viveash,795000,4,3,3,920,241,1995,15.5,Midland Station,1.4,12-2009,6056,La Salle College,0.5
16344,36 Banksia Street,Joondanna,655000,4,1,2,592,127,1951,4.9,Glendalough Station,1.6,07-2019,6060,Servite College,1.1
16345,36 Bathgate Loop,Koondoola,262000,4,1,1,491,100,1998,12.5,Warwick Station,6.1,09-2019,6064,Mercy College,0.8
16346,36 Bay Road,Claremont,1950000,4,3,4,821,263,1990,7.5,Claremont Station,1.0,11-2018,6010,Christ Church Grammar School,1.3
16347,36 Baycliff Turn,Waikiki,540000,5,2,4,576,194,2004,42.4,Warnbro Station,1.1,02-2019,6169,South Coast Baptist College,0.8
16348,36 Beaconsfield Street,St James,515000,3,1,2,589,158,1950,7.2,Welshpool Station,1.4,09-2019,6102,Canning College,1.6
16349,36 Bedfordale Hill Road,Mount Richon,532250,3,2,4,1599,268,1988,27.9,Armadale Station,1.2,07-2016,6112,Armadale Senior High School,0.8
16350,36 Benjamin Crescent,Tapping,550000,5,2,2,623,257,2008,26.1,Currambine Station,5.1,01-2019,6065,Joseph Banks Secondary College,2.7
16351,36 Bernley Drive,Viveash,575000,4,2,2,790,178,1998,15.5,Woodbridge Station,1.8,06-2010,6056,La Salle College,0.9
16352,36 Bight Reefs Road,Singleton,328000,3,1,1,870,115,1990,56.6,Mandurah Station,8.3,02-2018,6175,Mandurah Baptist College,2.9
16353,36 Binnacle Road,Ocean Reef,515000,3,2,1,700,153,1984,23.4,Joondalup Station,2.8,01-2020,6027,Ocean Reef Senior High School,1.1
16354,36 Bloomsbury Way,Harrisdale,515000,4,2,2,388,167,2014,20.9,Cockburn Central Station,6.9,01-2018,6112,Carey Baptist College,2.0
16355,36 Bonannella Entrance,Sinagra,475000,4,2,2,565,194,2007,24.5,Joondalup Station,3.7,07-2015,6065,Wanneroo Secondary College,2.6
16356,36 Boreham Street,Cottesloe,1575000,3,2,2,663,175,1962,9.7,Grant Street Station,0.5,09-2017,6011,Presbyterian Ladies College,0.4
16357,36 Borough Road,Baldivis,350000,4,2,2,450,184,2012,45.4,Warnbro Station,5.6,12-2020,6171,Tranby College,2.4
16358,36 Brecknock Way,Girrawheen,260000,3,1,1,692,87,1978,12.3,Warwick Station,5.1,10-2019,6064,Emmanuel Christian Community School,0.5
16359,36 Brennan Rise,Gidgegannup,590000,3,2,2,24569,148,1994,41.2,Midland Station,26.2,03-2016,6083,Eastern Hills Senior High School,12.6
16360,36 Brian Avenue,Mount Pleasant,1420000,4,3,2,1012,292,2009,9.6,Bull Creek Station,1.0,01-2019,6153,Aquinas College,1.7
16361,36 Brooking Street,South Guildford,560000,4,2,2,458,170,2011,12.8,East Guildford Station,1.1,06-2016,6055,Guildford Grammar School,1.3
16362,36 Broun Avenue,Embleton,430000,3,1,1,486,107,1950,6.4,Meltham Station,1.6,05-2017,6062,John Forrest Secondary College,0.4
16363,36 Brownell Crescent,Medina,295000,3,1,1,872,93,1970,31.6,Kwinana Station,3.2,11-2014,6167,Gilmore College,0.9
16364,36 Burridge Way,Hamilton Hill,520000,2,1,1,720,144,1965,15.5,Murdoch Station,5.5,11-2019,6163,Seton Catholic College,0.8
16365,36 Butcher Street,Mundijong,445000,4,2,2,1012,221,1987,39.5,Armadale Station,15.5,06-2015,6123,Court Grammar School,2.5
16366,36 Buxton Street,Mount Hawthorn,1425005,4,2,2,491,281,2012,4.0,West Leederville Station,2.1,01-2018,6016,Aranmore Catholic College,1.0
16367,36 Caduceus Way,Hilbert,636000,4,2,3,2006,219,2011,27.9,Armadale Station,4.0,02-2015,6112,Dale Christian School,2.7
16368,36 Campbell Street,Kensington,1125000,4,2,2,506,176,1934,4.1,Claisebrook Station,4.2,06-2016,6151,Wesley College,1.1
16369,36 Carabeen Road,Maddington,250000,3,1,1,685,90,1974,17.4,Madding,1.9,02-2018,6109,St Francis' School,1.8
16370,36 Carawatha Avenue,Mount Nasura,470000,4,2,1,918,179,1985,26.3,Sherwood Station,1.5,10-2014,6112,Sowilo Community High School,1.9
16371,36 Carrick Road,Mount Richon,431000,4,2,2,1011,150,1995,27.3,Armadale Station,0.8,07-2016,6112,Armadale Senior High School,1.0
16372,36 Caspian Way,Brigadoon,960000,7,4,2,17546,515,1990,27.3,Midland Station,13.4,07-2011,6069,Swan Valley Anglican Community School,8.3
16373,36 Castroreale Boulevard,Sinagra,522500,4,2,5,600,181,2006,24.2,Joondalup Station,3.7,12-2016,6065,Wanneroo Secondary College,2.3
16374,36 Cesare Circle,Madeley,490000,4,2,2,539,196,2004,16.2,Greenwood Station,4.5,08-2019,6065,Kingsway Christian College,0.8
16375,36 Challenger Avenue,Parmelia,279000,4,1,1,791,118,1979,33.2,Wellard Station,1.7,08-2016,6167,Peter Carnley Anglican Community School,1.1
16376,36 Chateau Place,Belhus,1080000,5,2,3,10400,248,2007,24.3,Midland Station,13.3,02-2017,6069,Holy Cross College,2.8
16377,36 Clianthus Way,Koongamia,300000,2,1,2,729,115,1965,18.3,Midland Station,4.6,08-2011,6056,Swan View Senior High School,2.3
16378,36 Clinton Avenue,St James,670000,3,2,3,850,103,1970,7.2,Welshpool Station,1.7,02-2017,6102,Canning College,1.3
16379,36 Clive Street,Bicton,1210000,7,2,4,1012,225,1963,10.1,Vic,3.5,11-2017,6157,Santa Maria College,0.6
16380,36 Coleridge Place,North Lake,600000,4,2,2,700,232,1999,14.7,Murdoch Station,3.3,04-2009,6163,North Lake Senior Campus,0.9
16381,36 Colwyn Loop,Tapping,510000,5,2,2,675,219,2006,27.2,Currambine Station,4.9,08-2017,6065,Joseph Banks Secondary College,1.6
16382,36 Cooper Street,Nedlands,1660000,4,2,2,743,202,1925,5.4,Shen,2.3,02-2018,6009,Shenton College,2.3
16383,36 Coral Vine Loop,Jarrahdale,660000,4,2,2,4059,231,2013,47.4,Armadale Station,21.7,03-2015,6124,Court Grammar School,10.4
16384,36 Craigie Drive,Craigie,410000,3,1,2,726,100,1975,21.2,Edgewater Station,2.1,02-2020,6025,Belridge Secondary College,1.3
16385,36 Crawford Street,Cannington,265000,3,1,2,240,96,1997,11.4,Beckenham Station,0.7,05-2019,6107,Sevenoaks Senior College,1.0
16386,36 Crestmoor Pass,Bullsbrook,630000,4,2,2,20029,251,2005,39.4,Midland Station,27.6,12-2018,6084,Holy Cross College,17.0
16387,36 Cutter Crescent,Beldon,430000,3,1,1,687,113,1977,22.0,Edgewater Station,1.7,02-2015,6027,Belridge Secondary College,0.4
16388,36 Dakin Street,Jolimont,820000,3,1,2,919,158,1971,5.1,Shen,1.2,12-2013,6014,Shenton College,1.3
16389,36 Dale Place,Orange Grove,830000,4,2,2,8517,206,1979,17.1,Madding,3.9,09-2010,6109,Mazenod College,3.3
16390,36 Daly Circle,Langford,550000,4,2,2,560,214,2003,11.7,Thornlie Station,2.1,11-2014,6147,Langford Islamic College,1.3
16391,36 Damascus Drive,Greenmount,589000,4,2,2,920,231,1989,18.9,Midland Station,4.4,02-2015,6056,Swan View Senior High School,0.7
16392,36 Dampier Loop,Mirrabooka,400000,3,1,1,570,128,1986,11.5,Warwick Station,6.6,09-2015,6061,Mercy College,0.9
